nom_projet;arrond;date_fin_t;ope_statut;ope_type;ind_arb_plant;st_area_shape;geo_shape
VERGER EP LE VAU (8/10/20) - phase 2;20;2020-08-12T02:00:00+00:00;Réalisé;Arbre;5.0;6840.804111182015;"{""coordinates"": [[[2.411486399267228, 48.86609402344244], [2.411278698630278, 48.86666187819076], [2.4111553055574273, 48.867962886424436], [2.411711658174762, 48.867895605298095], [2.41174605410177, 48.86613030307079], [2.411486399267228, 48.86609402344244]]], ""type"": ""Polygon""}"
PROLONGEMENT M11 - STATION PYRENEES;19;2022-04-07T02:00:00+00:00;Réalisé;Arbre;8.0;1479.1318243655048;"{""coordinates"": [[[2.384912008347145, 48.87386248813478], [2.3847546820856818, 48.8738754821631], [2.3845979916152595, 48.87389467835535], [2.384442181343132, 48.87392004676912], [2.3842874943036123, 48.873951547834544], [2.384134171778984, 48.87398913241595], [2.383982452923148, 48.87403274188856], [2.384104439131145, 48.87419402482118], [2.3842676083149956, 48.87414990324217], [2.3844324139555964, 48.87411235331381], [2.384598591492048, 48.87408143531466], [2.384765874161161, 48.87405719887706], [2.3849339934256872, 48.874039682907544], [2.3851026794053998, 48.87402891552432], [2.384912008347145, 48.87386248813478]]], ""type"": ""Polygon""}"
Replantations écoles et crèches 2020-2021 - 16e ardt;16;2021-03-31T02:00:00+00:00;Réalisé;Arbre;3.0;312.5736441443103;"{""coordinates"": [[[2.2750459950875013, 48.86365054935059], [2.2750616300910917, 48.86364940081342], [2.275076828122461, 48.86364555473524], [2.275091127397116, 48.86363912797717], [2.2751040934388325, 48.86363031581302], [2.2751153322809934, 48.863619385995925], [2.275124502437068, 48.86360667062285], [2.275131325276503, 48.86359255604397], [2.2751355934907753, 48.86357747112363], [2.275137177392354, 48.86356187420948], [2.2751360288551914, 48.863546239205895], [2.2751321827770075, 48.863531041174525], [2.275125756018942, 48.86351674189987], [2.2751169438547865, 48.863503775858156], [2.2751060140376898, 48.86349253701599], [2.2750932986646135, 48.86348336685992], [2.2750791840857345, 48.86347654402048], [2.2750640991653897, 48.86347227580621], [2.27504850225125, 48.86347069190463], [2.2750328672476594, 48.8634718404418], [2.27501766921629, 48.863475686519976], [2.275003369941635, 48.863482113278046], [2.2749904038999187, 48.8634909254422], [2.2749791650577578, 48.863501855259294], [2.2749699949016833, 48.86351457063237], [2.274963172062248, 48.86352868521125], [2.274958903847976, 48.86354377013159], [2.274957319946397, 48.86355936704574], [2.2749584684835598, 48.86357500204932], [2.2749623145617437, 48.863590200080694], [2.274968741319809, 48.86360449935535], [2.2749775534839647, 48.86361746539706], [2.2749884833010614, 48.863628704239225], [2.2750011986741376, 48.8636378743953], [2.2750153132530166, 48.86364469723474], [2.2750303981733615, 48.86364896544901], [2.2750459950875013, 48.86365054935059]]], ""type"": ""Polygon""}"
Requalification de la coulée verte Beaugrenelle (phase 3), de la rue Gaston de Caillavet à la rue du Théâtre;15;2022-04-30T02:00:00+00:00;Réalisé;Végétalisation de l’espace public;5.0;2356.458115595007;"{""coordinates"": [[[2.2826655628329555, 48.850043846108164], [2.2833115850583714, 48.85050838394194], [2.2834757931221006, 48.850599194902216], [2.283722027287973, 48.85074299251], [2.283894020690657, 48.85066346162972], [2.282927915494311, 48.84990309540586], [2.2826655628329555, 48.850043846108164]]], ""type"": ""Polygon""}"
ARB - TALUS BP 26-01  Pte de Pantin;19;2022-03-31T02:00:00+00:00;Réalisé;Arbre;216.0;2199.7755593065535;"{""coordinates"": [[[2.395041603069718, 48.89309355389084], [2.3951566639260027, 48.89266974347904], [2.3951528733191974, 48.892673888174706], [2.395078563621643, 48.89276257046494], [2.3950141538237806, 48.89285455734982], [2.3949599755147553, 48.892949368485326], [2.394916315432183, 48.893046510708565], [2.39488339910633, 48.89314547705537], [2.3948613989888643, 48.89324575129782], [2.394861350670117, 48.89324603613729], [2.3945021714924777, 48.89469793659986], [2.3944799695434584, 48.89478483678473], [2.3944651071350465, 48.89483347939085], [2.3944052218002843, 48.89500591630521], [2.394364781835315, 48.89510705301678], [2.3943734594954265, 48.89510948818306], [2.394388120385132, 48.89511207051769], [2.3944032377092195, 48.89511293566657], [2.394418354878765, 48.89511205524055], [2.394433009179789, 48.895109458375785], [2.394446757791626, 48.89510522287247], [2.3944591804937585, 48.895099477006816], [2.394469902882723, 48.89509239695068], [2.3944785978515286, 48.89508419688633], [2.394484361541008, 48.89507624729809], [2.394803398850148, 48.89396791382995], [2.395041603069718, 48.89309355389084]]], ""type"": ""Polygon""}"
ARB - TALUS BP 21-02  Pte de Clignancourt;18;2022-03-31T02:00:00+00:00;Réalisé;Arbre;185.0;853.8203611740556;"{""coordinates"": [[[2.3395033097413878, 48.90113329554794], [2.3395401547276506, 48.90112722150776], [2.3395530497150547, 48.9010980711402], [2.3395512067783977, 48.90108592470758], [2.339532783077716, 48.90107013544187], [2.339508832354939, 48.90106163432742], [2.339464616608797, 48.901053133860856], [2.3394167160701165, 48.90105799307917], [2.339363290100245, 48.90106528232943], [2.3393246014271796, 48.901073785090425], [2.339296968339623, 48.90108350264997], [2.3392674920941494, 48.90108593186994], [2.3392269606423026, 48.90108593309092], [2.339179060457874, 48.90108957813961], [2.3391274757161624, 48.90108957949369], [2.3390795754072276, 48.901089580473155], [2.3390335184010964, 48.90108836763688], [2.339007726030838, 48.901088368285365], [2.3389966727440696, 48.90108836843635], [2.3389450870560062, 48.90107136453832], [2.3389303487099427, 48.901065291946175], [2.338887974694956, 48.901060434668935], [2.338808756417979, 48.90105557812587], [2.3387129562916784, 48.90105436483698], [2.338646633444451, 48.901055581422284], [2.338598733598364, 48.901054367235716], [2.338534252709107, 48.901054369062024], [2.3384918784748487, 48.90105801287896], [2.338425556409307, 48.90105315626406], [2.3383408105017627, 48.90105315756048], [2.338285539884582, 48.90104587081499], [2.3382247447452085, 48.90104222812458], [2.3381878981979662, 48.90104101369394], [2.338160264324215, 48.90104101387655], [2.338136314031703, 48.901047088605786], [2.3380920987253546, 48.901053161952184], [2.3380515677970033, 48.90105559093192], [2.337999984530198, 48.90106287986701], [2.3379426883059735, 48.90105923658809], [2.337883734223604, 48.90105316495593], [2.337828465034419, 48.901045878007054], [2.3377916180434277, 48.901045878428256], [2.337738191838163, 48.90104952292408], [2.3376810812343782, 48.90105680993665], [2.3376737106307917, 48.90107260074026], [2.3376866082881396, 48.901090818467026], [2.3377068738588913, 48.901104179259036], [2.3377584581753537, 48.901105392591234], [2.337916897339098, 48.90110782076875], [2.3379426885712706, 48.901084742996], [2.337986903612088, 48.90109081496848], [2.338038489843103, 48.901101746201356], [2.338056912529529, 48.90110781858209], [2.338080862016099, 48.901107817845855], [2.338117708619562, 48.90110903141012], [2.3381250768328106, 48.90109567141881], [2.338143499418434, 48.9010944566267], [2.338246669090743, 48.90110538593281], [2.3383203614159, 48.90111024379462], [2.3384069516852533, 48.90111024190845], [2.3384861700804733, 48.90111874274637], [2.338624343339577, 48.901119954591316], [2.3386814559562636, 48.90112238245275], [2.338758832158672, 48.90112116751871], [2.3388196275350137, 48.90112845306784], [2.3389688554872152, 48.901129664388186], [2.33901380661288, 48.90111387407219], [2.339078288157917, 48.901132091235006], [2.339203565264262, 48.90113330319109], [2.3392662028022606, 48.90113087257381], [2.339306733472273, 48.901121155124535], [2.339350948983946, 48.90112236759026], [2.3393877974100286, 48.90113451195995], [2.3394578035302787, 48.90113694042053], [2.3395033097413878, 48.90113329554794]]], ""type"": ""Polygon""}"
Replantations Alignement 2020-2021 - 17e ardt;17;2021-03-31T02:00:00+00:00;Réalisé;Arbre;87.0;312.57564505157757;"{""coordinates"": [[[2.321440426470429, 48.88557277888633], [2.3214560600986998, 48.8855716166224], [2.321471254392016, 48.885567757264816], [2.3214855476794636, 48.8855613180782], [2.3214985056667365, 48.88555249471398], [2.3215097346319484, 48.88554155526561], [2.321518893388674, 48.885528832122695], [2.3215257036527235, 48.8855147118715], [2.321529958497671, 48.885499623548704], [2.3215315286422054, 48.885484025605365], [2.32153036637828, 48.88546839197709], [2.3215265070206947, 48.88545319768377], [2.321520067834079, 48.885438904396324], [2.321511244469858, 48.88542594640905], [2.321500305021489, 48.885414717443844], [2.321487581878576, 48.88540555868712], [2.321473461627377, 48.885398748423064], [2.3214583733045804, 48.88539449357812], [2.321442775361239, 48.885392923433585], [2.3214271417329684, 48.88539408569751], [2.321411947439652, 48.8853979450551], [2.3213976541522046, 48.88540438424171], [2.3213846961649316, 48.885413207605936], [2.3213734671997197, 48.8854241470543], [2.3213643084429942, 48.88543687019722], [2.3213574981789447, 48.88545099044841], [2.321353243333997, 48.88546607877121], [2.321351673189463, 48.88548167671455], [2.3213528354533883, 48.88549731034282], [2.3213566948109734, 48.88551250463614], [2.3213631339975893, 48.88552679792359], [2.3213719573618103, 48.88553975591086], [2.3213828968101793, 48.88555098487607], [2.3213956199530923, 48.885560143632794], [2.3214097402042912, 48.88556695389685], [2.3214248285270878, 48.885571208741794], [2.321440426470429, 48.88557277888633]]], ""type"": ""Polygon""}"
Replantations cimetières 2020-2021 - Seine-Saint-Denis;21;2021-03-31T02:00:00+00:00;Réalisé;Arbre;70.0;312.5750471336934;"{""coordinates"": [[[2.414064969920868, 48.89978247267337], [2.4140806010357183, 48.89978128265718], [2.4140957880346683, 48.8997773964054], [2.4141100694684394, 48.899770931999825], [2.4141230114028933, 48.89976208585814], [2.4141342206039007, 48.8997511267659], [2.414143356485561, 48.89973838770957], [2.414150141458733, 48.89972425575892], [2.41415436936544, 48.89970916030613], [2.4141559117428764, 48.899693560018896], [2.414154721726684, 48.89967792890405], [2.414150835474903, 48.8996627419051], [2.414144371069327, 48.899648460471326], [2.4141355249276484, 48.89963551853687], [2.4141245658354054, 48.89962430933586], [2.4141118267790707, 48.8996151734542], [2.4140976948284245, 48.89960838848103], [2.414082599375636, 48.89960416057432], [2.4140669990883996, 48.89960261819689], [2.414051367973549, 48.89960380821308], [2.414036180974599, 48.89960769446486], [2.414021899540828, 48.899614158870435], [2.414008957606374, 48.89962300501212], [2.4139977484053667, 48.89963396410436], [2.4139886125237062, 48.89964670316069], [2.4139818275505345, 48.89966083511134], [2.4139775996438275, 48.89967593056413], [2.413976057266391, 48.89969153085136], [2.4139772472825833, 48.89970716196621], [2.4139811335343646, 48.89972234896516], [2.4139875979399403, 48.899736630398934], [2.413996444081619, 48.89974957233339], [2.414007403173862, 48.8997607815344], [2.414020142230197, 48.89976991741606], [2.414034274180843, 48.89977670238923], [2.4140493696336316, 48.89978093029594], [2.414064969920868, 48.89978247267337]]], ""type"": ""Polygon""}"
ARB - place de la Bastille;12;2020-12-22T01:00:00+00:00;Réalisé;Végétalisation de l’espace public;8.0;3408.6669998658417;"{""coordinates"": [[[2.369090234114322, 48.85263137271945], [2.3691355832150585, 48.85262844281383], [2.3691799535955567, 48.8526186247377], [2.369222305251705, 48.85260214861844], [2.3692616454965787, 48.85257940064231], [2.369297052228181, 48.852550914002606], [2.3693276955427325, 48.85251735640201], [2.3693528571869122, 48.85247951440223], [2.369371947393107, 48.85243827498769], [2.3693845187030633, 48.8523946047753], [2.3693902764559307, 48.85234952735782], [2.3693890856948623, 48.852304099311716], [2.369380974330288, 48.85225938543189], [2.3693661324857187, 48.85221643377378], [2.3693449080414117, 48.852176251087855], [2.369317798480353, 48.852139779222206], [2.369285439227676, 48.852107873046464], [2.3692485887568373, 48.85208128041433], [2.3692081108116407, 48.85206062463458], [2.369164954160814, 48.85204638986118], [2.3691201303596743, 48.85203890974514], [2.36907469004013, 48.852038359614056], [2.3690296982847574, 48.852044752362524], [2.368986209662169, 48.85205793814994], [2.3689452435088194, 48.85207760791263], [2.3689077600366217, 48.85210330060803], [2.3688746378263947, 48.852134414021116], [2.368846653234673, 48.85217021887988], [2.368824462196568, 48.85220987594876], [2.368808584851205, 48.852252455699684], [2.368799393350101, 48.85229696009937], [2.368797103134253, 48.85234234600242], [2.3688017678843787, 48.85238754960174], [2.3688132782626887, 48.85243151136326], [2.3688313644756716, 48.852473200860544], [2.368855602597824, 48.85251164092713], [2.3688854245081057, 48.85254593056043], [2.368920131206216, 48.852575266040496], [2.368958909196567, 48.85259895976855], [2.369000849555931, 48.85261645638367], [2.369044969237833, 48.85262734578005], [2.369090234114322, 48.85263137271945]]], ""type"": ""Polygon""}"
Végétalisation de la villa Sainte-Croix;17;2021-05-25T02:00:00+00:00;Réalisé;Végétalisation de l’espace public;5.0;778.4414399157607;"{""coordinates"": [[[[2.32442335225388, 48.894351027357544], [2.324629027817992, 48.89429698344239], [2.3243485501526417, 48.893950525223936], [2.324367083220487, 48.89357024561277], [2.324263210836893, 48.89356585178299], [2.3242363600058344, 48.89396640196041], [2.3244615232347945, 48.89419039066022], [2.3243309524809885, 48.894241050339346], [2.32442335225388, 48.894351027357544]]], [[[2.3246121913431894, 48.89427155635557], [2.324613460218467, 48.894273100455024], [2.324613484902465, 48.89427119762658], [2.3246121913431894, 48.89427155635557]]]], ""type"": ""MultiPolygon""}"
