statut_pdc;arrondissement;nom_station;nbre_pdc;date_mise_en_service;coordonneesxy
En service;06e Arrondissement;Paris | Rue de Rennes 105;4;2021-11-09T10:56:34+00:00;48.84896, 2.328735
En service;20e Arrondissement;Paris | Boulevard Mortier 15;5;2021-09-29T10:00:24+00:00;48.8657, 2.4087
En service;20e Arrondissement;Paris | Boulevard de Charonne 52;6;2021-09-29T10:14:22+00:00;48.8519, 2.3982
En service;19e Arrondissement;Paris | Rue de Crimée 8;5;2021-09-29T09:58:53+00:00;48.8777, 2.3916
En service;18e Arrondissement;Paris | Rue Championnet 28;6;2021-09-14T15:06:42+00:00;48.8954, 2.35
En service;17e Arrondissement;Paris | Rue de Courcelles 210;6;2021-09-14T13:54:17+00:00;48.8867, 2.2955
En service;18e Arrondissement;Paris | Rue Navier 1;5;2021-09-07T09:42:19+00:00;48.8955, 2.3283
En service;16e Arrondissement;Paris | Avenue Georges Mandel 1;6;2021-09-07T10:29:42+00:00;48.863, 2.2858
En service;16e Arrondissement;Paris | Place des États-Unis 16;5;2021-09-01T07:19:41+00:00;48.8685, 2.2927
En service;20e Arrondissement;Paris | Rue Guébriant 6;6;2021-09-01T07:59:59+00:00;48.8731, 2.4092
En service;18e Arrondissement;Paris | Rue Jean-François Lépine 1;7;2021-08-17T09:31:45+00:00;48.8861, 2.3591
En service;19e Arrondissement;Paris | Rue Adolphe Mille 8;6;2021-11-03T09:20:32+00:00;48.8886, 2.3888
En service;13e Arrondissement;Paris | Rue Vulpian 24;6;2023-03-29T12:28:28+00:00;48.83105, 2.3460584
En service;13e Arrondissement;Paris | Rue Vulpian 24;6;2023-03-29T12:28:53+00:00;48.83105, 2.3460584
En service;13e Arrondissement;Paris | Rue Bobillot 16;6;2021-09-21T13:38:10+00:00;48.82958, 2.3537664
En service;14e Arrondissement;Paris | Rue Castagnou 10;7;2021-09-06T15:36:14+00:00;48.83273, 2.32608
En service;11e Arrondissement;Paris | Avenue de la République 5;6;2021-10-12T15:26:11+00:00;48.86661, 2.36784
En service;12e Arrondissement;Paris | Avenue Ledru Rollin 20;6;2024-08-19T10:58:41+00:00;48.84652, 2.3692153
En service;09e Arrondissement;Paris | Rue du conservatoire 13;6;2021-08-17T09:55:14+00:00;48.87359, 2.3466527
En service;10e Arrondissement;Paris | Rue Beaurepaire 31;6;2021-08-17T09:41:35+00:00;48.87119, 2.364206
En service;08e Arrondissement;Paris | Rue François 1er 38;6;2021-09-21T13:14:26+00:00;48.86821, 2.3046348
En service;08e Arrondissement;Paris | Rue la Boétie 37;6;2021-09-14T14:21:46+00:00;48.8737, 2.314663
En service;08e Arrondissement;Paris | Rue Francois 1er 7;7;2021-08-19T08:34:44+00:00;48.865772, 2.308419
En service;07e Arrondissement;Paris | Rue du Bac 142;5;2021-08-17T10:06:24+00:00;48.85082, 2.3237967
En service;Paris centre;Paris | Rue Vivienne 43;4;2021-11-03T09:23:37+00:00;48.870564, 2.3408933
En service;15e Arrondissement;Paris | Rue de la Fédération 10;6;2021-07-13T14:45:55+00:00;48.85482, 2.2904053
En service;20e Arrondissement;Paris | Rue Julien Lacroix 39;6;2021-07-07T09:11:08+00:00;48.86986, 2.38494
En service;05e Arrondissement;Paris | Rue Claude Bernard 36;5;2024-10-10T15:26:53+00:00;48.839592, 2.3480084
En service;08e Arrondissement;Paris | SAEMES Parking Saint-Augustin;15;2024-03-19T09:41:53+00:00;48.87577, 2.320347
