,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
3901,"48.89181302961532,2.3266430615310387",4 Passage Legendre 75017 Paris,2375N2375040A,B,B,46.2,10.0,panneaux solaires photovoltaïques,2023-07-06
3902,"48.875535956163105,2.4112280670689787",Rue Paul Meurice 75020 Paris,2375N3010531Z,B,A,65.0,2.0,Il existe plusieurs descriptifs ENR,2023-07-24
3903,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137812W,A,A,33.0,2.0,pompe à chaleur,2024-12-09
3904,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0512357H,B,B,62.0,10.0,,2021-07-19
3905,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1464498D,C,C,63.2,13.7,panneaux solaires thermiques,2022-06-27
3906,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346063Y,C,C,84.7,18.5,,2022-06-08
3907,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380777O,B,A,69.0,2.0,,2022-02-23
3908,"48.83732501805456,2.3918729863104717",4 Rue de la Lancette 75012 Paris,2475N2374610N,C,C,60.7,13.3,,2024-05-26
3909,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346193Y,C,C,84.0,18.4,,2022-06-08
3910,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503857J,B,B,67.0,10.0,,2021-07-19
3911,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2295202J,D,D,146.0,33.0,cogénération,2024-06-23
3912,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878361J,A,A,55.0,0.1,,2021-10-19
3913,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909470Z,A,A,30.0,2.0,,2024-03-10
3914,"48.87729696981514,2.3268259668053877",17b Rue d'Amsterdam 75008 Paris,2275N2629811W,C,C,49.8,16.6,chauffe-eau thermodynamique,2022-10-02
3915,"48.89755004487426,2.3377980388537423",106 Rue du Poteau 75018 Paris,2375N4226079V,C,C,59.0,12.7,,2023-03-06
3916,"48.8517710087486,2.4073170254996294",93 Rue des Grands Champs 75020 Paris,2275N0818282R,C,C,83.0,18.1,,2022-04-18
3917,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0343650Q,C,C,35.5,11.1,chauffe-eau thermodynamique,2022-09-07
3918,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N1014603O,B,A,84.6,3.4,chauffage au bois,2024-01-02
3919,"48.86976504350663,2.405120008985746",11 Rue Haxo 75020 Paris,2375N3647142A,C,C,113.0,24.0,,2023-08-21
3920,"48.87221696206704,2.3905800013095666",58 Rue des Cascades 75020 Paris,2375N1558554S,C,C,72.0,15.0,,2023-04-24
3921,"48.83234801031167,2.3530959862759246",Rue Abel Hovelacque 75013 Paris,2275N0853123S,B,B,81.1,6.3,,2022-02-10
3922,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878343R,A,A,49.0,0.1,,2021-10-19
3923,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205518M,C,C,66.4,11.0,réseau de chaleur ou de froid vertueux,2023-09-20
3924,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0396072U,A,A,55.0,0.1,,2021-09-22
3925,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041336F,C,C,56.0,20.6,Il existe plusieurs descriptifs ENR,2022-09-07
3926,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454683T,B,B,55.0,8.0,,2021-09-06
