,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
1076,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222448R,A,A,31.2,2.0,Il existe plusieurs descriptifs ENR,2024-08-28
1077,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909475E,A,A,30.0,2.0,,2024-03-10
1078,"48.83893598306376,2.3207939487829155",11 Rue du Commandant René Mouchotte 75014 Paris,2375N4437981X,C,C,63.0,11.0,,2023-12-13
1079,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125259A,A,A,9.3,2.8,,2022-09-07
1080,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192474R,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
1081,"48.83511696162225,2.395558055812113",41 Rue des Meuniers 75012 Paris,2375N0258118Y,A,A,53.0,3.0,,2023-01-17
1082,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146232S,B,B,48.0,10.0,panneaux solaires photovoltaïques,2024-12-10
1083,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205668G,C,C,76.8,12.7,réseau de chaleur ou de froid vertueux,2023-09-20
1084,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0959006H,C,C,100.4,22.0,,2021-12-20
1085,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0343853L,B,B,25.9,7.7,chauffe-eau thermodynamique,2022-09-07
1086,"48.875528016770936,2.394047978343679",207 Rue de Belleville 75019 Paris,2475N0282451W,B,A,62.0,1.0,,2024-01-24
1087,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503472O,B,B,67.0,10.0,,2021-07-19
1088,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346272Z,C,C,84.7,18.5,,2022-06-08
1089,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205547P,B,B,50.6,8.2,réseau de chaleur ou de froid vertueux,2023-09-20
1090,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0962875C,C,C,91.1,20.0,,2021-12-20
1091,"48.83932598226895,2.3185700610026854",Allée de la Deuxième D.b. 75014 Paris,2175N0521249H,C,C,91.0,20.0,,2021-10-11
1092,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222434D,B,A,51.2,3.6,Il existe plusieurs descriptifs ENR,2024-08-28
1093,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222403Y,B,A,51.6,3.6,Il existe plusieurs descriptifs ENR,2024-08-28
1094,"48.84296700742873,2.2812759918113614",31 Rue des Bergers 75015 Paris,2475N1348132P,A,A,59.0,3.0,,2024-04-09
1095,"48.84258504368993,2.2804229729937466",52 Rue des Cévennes 75015 Paris,2175N0563738M,C,C,60.0,13.0,,2021-10-05
1096,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136346L,B,B,28.2,8.1,,2022-09-07
1097,"48.8585239955236,2.3766359413420637",28b Rue Popincourt 75011 Paris,2275N1600649S,C,C,91.4,20.1,,2022-07-06
1098,"48.89528002621552,2.346351023926362",43 Boulevard Ornano 75018 Paris,2175N0414037T,C,C,64.8,14.3,,2021-09-28
1099,"48.8271690062542,2.3788539909118573",8 Rue Jeanne Chauvin 75013 Paris,2375N3285211P,C,C,76.4,12.7,réseau de chaleur ou de froid vertueux,2023-09-20
1100,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454815V,B,B,49.0,7.0,,2021-09-06
1101,"48.89360497196748,2.349261067593661",120 Rue de Clignancourt 75018 Paris,2475N0093067W,A,A,10.3,2.2,panneaux solaires photovoltaïques,2024-01-08
1102,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205502W,B,B,56.3,9.2,réseau de chaleur ou de froid vertueux,2023-09-20
1103,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205601R,B,B,54.6,8.9,réseau de chaleur ou de froid vertueux,2023-09-20
1104,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205797F,B,B,51.9,8.5,réseau de chaleur ou de froid vertueux,2023-09-20
1105,"48.89181302961532,2.3266430615310387",4 Passage Legendre 75017 Paris,2375N2375004Q,C,C,61.2,13.4,panneaux solaires photovoltaïques,2023-07-06
1106,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116876Q,C,C,52.0,11.0,pompe à chaleur,2024-12-10
1107,"48.854389028559616,2.381796034689783",8 Rue Godefroy Cavaignac 75011 Paris,2275N1298964L,C,C,61.0,13.0,,2022-06-12
1108,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709611S,A,A,34.3,4.0,Il existe plusieurs descriptifs ENR,2024-10-21
1109,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116661J,C,C,64.0,14.0,pompe à chaleur,2024-12-10
1110,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0130721D,C,C,63.0,14.0,,2024-12-10
1111,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041293O,C,C,56.0,20.6,Il existe plusieurs descriptifs ENR,2022-09-07
1112,"48.88783098977528,2.3865770061142113",8 Rue des Ardennes 75019 Paris,2375N1958743P,C,C,67.8,14.3,Il existe plusieurs descriptifs ENR,2022-11-17
1113,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227336N,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
1114,"48.887093039938215,2.3608449556310283",71 Rue Philippe de Girard 75018 Paris,2475N2015824B,C,C,58.0,12.0,,2024-04-23
1115,"48.87117204390332,2.392724984204714",335 Rue des Pyrénées 75020 Paris,2475N1835182H,B,B,38.0,6.0,pompe à chaleur,2023-12-04
1116,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0130747D,C,C,51.0,11.0,,2024-12-10
1117,"48.82754200129207,2.3792399441980243",71 Avenue de France 75013 Paris,2375N3284810E,C,C,67.6,11.2,réseau de chaleur ou de froid vertueux,2023-09-20
1118,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0963550B,C,C,91.1,20.0,,2021-12-20
1119,"48.870989976761315,2.392965003066906",331 Rue des Pyrénées 75020 Paris,2475N3324092B,C,C,89.8,19.6,,2024-09-11
1120,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0507641X,B,A,57.0,1.0,panneaux solaires thermiques,2021-10-03
1121,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041735O,C,C,53.5,19.7,,2022-09-07
1122,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3285068C,C,C,75.6,12.5,réseau de chaleur ou de froid vertueux,2023-09-20
1123,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3285027N,B,B,51.9,8.5,réseau de chaleur ou de froid vertueux,2023-09-20
1124,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3285042C,B,B,56.7,9.3,réseau de chaleur ou de froid vertueux,2023-09-20
1125,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041329Y,C,C,56.0,20.6,Il existe plusieurs descriptifs ENR,2022-09-07
1126,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227370V,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
1127,"48.84258504368993,2.2804229729937466",52 Rue des Cévennes 75015 Paris,2275N0214733G,C,C,85.0,19.0,,2022-01-31
1128,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192463G,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
1129,"48.84643202413541,2.405943002097207",81 Avenue du Docteur Arnold Netter 75012 Paris,2375N4121277Z,B,B,57.6,9.5,réseau de chaleur ou de froid vertueux,2023-11-20
1130,"48.88783098977528,2.3865770061142113",8 Rue des Ardennes 75019 Paris,2375N1958740M,B,B,50.3,10.4,Il existe plusieurs descriptifs ENR,2022-11-17
1131,"48.86520297206794,2.3935970536593056",46 Rue Sorbier 75020 Paris,2475N0927188L,C,C,70.0,15.0,,2024-03-13
1132,"48.89755004487426,2.3377980388537423",106 Rue du Poteau 75018 Paris,2375N4226095L,C,C,90.2,19.7,panneaux solaires photovoltaïques,2023-03-06
1133,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129446N,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
1134,"48.851414961541664,2.3161119746113394",6 Rue Monsieur 75007 Paris,2475N3384723A,C,C,112.4,18.8,réseau de chaleur ou de froid vertueux,2024-09-24
1135,"48.82754200129207,2.3792399441980243",71 Avenue de France 75013 Paris,2375N3284940E,B,B,49.8,8.1,réseau de chaleur ou de froid vertueux,2023-09-20
1136,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227844B,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
1137,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0130691Z,C,C,73.0,16.0,,2024-12-10
1138,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2328306P,A,A,60.0,4.0,,2024-05-15
1139,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158432X,B,B,27.6,7.7,,2022-09-07
1140,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0950428J,C,C,85.7,18.9,,2021-12-19
1141,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192039Y,A,A,17.6,1.2,pompe à chaleur,2022-05-30
1142,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129246V,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
1143,"48.87729696981514,2.3268259668053877",17b Rue d'Amsterdam 75008 Paris,2275N2629808T,C,C,46.3,15.3,chauffe-eau thermodynamique,2022-10-02
1144,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166317C,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
1145,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2247202D,B,B,56.0,9.7,réseau de chaleur ou de froid vertueux,2022-09-28
1146,"48.89181302961532,2.3266430615310387",4 Passage Legendre 75017 Paris,2375N2375085T,C,C,76.5,16.9,panneaux solaires photovoltaïques,2023-07-06
1147,"48.89464204054697,2.314974045668648",119 Boulevard Bessières 75017 Paris,2375N3794224A,C,C,68.6,15.0,panneaux solaires thermiques,2023-10-17
1148,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205786U,B,B,56.7,9.3,réseau de chaleur ou de froid vertueux,2023-09-20
1149,"48.8517710087486,2.4073170254996294",93 Rue des Grands Champs 75020 Paris,2275N0818311U,C,C,77.2,16.8,,2022-04-18
1150,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2313386T,A,A,71.0,4.0,,2024-05-15
1151,"48.834104011936304,2.3044069555193207",38 Rue Brancion 75015 Paris,2475N2466465K,C,B,137.0,9.0,,2024-07-03
1152,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041349S,C,C,56.0,20.6,Il existe plusieurs descriptifs ENR,2022-09-07
1153,"48.854389028559616,2.381796034689783",8 Rue Godefroy Cavaignac 75011 Paris,2275N1299759A,C,C,78.0,17.0,,2022-06-12
1154,"48.85609296985318,2.395124051227484",140 Boulevard de Charonne 75020 Paris,2375N2136282A,B,B,52.9,10.7,Il existe plusieurs descriptifs ENR,2023-06-25
1155,"48.87729696981514,2.3268259668053877",17b Rue d'Amsterdam 75008 Paris,2275N2629790B,C,C,38.8,12.4,chauffe-eau thermodynamique,2022-10-02
1156,"48.88613797486515,2.3828069555163283",Avenue Jean Jaurès 75019 Paris,2175N0936387D,B,B,51.0,8.0,,2021-10-19
1157,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709651G,A,A,40.6,4.8,Il existe plusieurs descriptifs ENR,2024-10-21
1158,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146217D,C,C,56.0,12.0,panneaux solaires photovoltaïques,2024-12-10
1159,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909520X,A,A,30.0,2.0,,2024-03-10
1160,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2153191I,C,C,35.8,11.5,,2022-09-07
1161,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2329495I,A,A,55.0,3.0,,2024-05-15
1162,"48.87723102638617,2.326822046984802",17 Rue d'Amsterdam 75008 Paris,2275N2543744P,C,C,51.4,17.2,chauffe-eau thermodynamique,2022-10-02
1163,"48.84379103226861,2.3864599956503727",13 Cité Moynet 75012 Paris,2375N4121259H,B,B,52.4,8.6,réseau de chaleur ou de froid vertueux,2023-11-20
1164,"48.83893598306376,2.3207939487829155",11 Rue du Commandant René Mouchotte 75014 Paris,2375N4437971N,C,C,83.0,15.0,,2023-12-13
1165,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0343881N,B,B,26.7,8.2,chauffe-eau thermodynamique,2022-09-07
1166,"48.82899795943467,2.3078750409538005",196 Rue Raymond Losserand 75014 Paris,2175N0985185Z,C,C,91.1,19.6,,2021-12-20
1167,"48.82854301667141,2.310733944724113",3 Rue Maria Helena Vieira Da Silva 75014 Paris,2275N2989268D,A,A,17.6,2.0,pompe à chaleur,2022-12-07
1168,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146248I,C,C,50.0,11.0,panneaux solaires photovoltaïques,2024-12-10
1169,"48.88940299732564,2.3219860503476637",105 Avenue de Clichy 75017 Paris,2275N0196187Y,C,C,63.0,13.0,,2022-01-31
1170,"48.892618003061735,2.3738100191669687",4b Passage de Crimée 75019 Paris,2375N0677088E,B,B,56.0,8.0,,2023-02-21
1171,"48.851414961541664,2.3161119746113394",6 Rue Monsieur 75007 Paris,2475N3384791Q,C,C,112.4,18.8,réseau de chaleur ou de froid vertueux,2024-09-24
1172,"48.89181302961532,2.3266430615310387",4 Passage Legendre 75017 Paris,2375N2375011X,C,C,69.8,15.4,panneaux solaires photovoltaïques,2023-07-06
1173,"48.87221696206704,2.3905800013095666",58 Rue des Cascades 75020 Paris,2375N1479332S,C,C,72.0,15.0,,2023-04-24
1174,"48.83131399584323,2.3375189871531585",20 Rue Dareau 75014 Paris,2475N2745543E,A,A,73.0,4.0,,2024-07-25
1175,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454896Y,B,B,53.0,8.0,,2021-09-06
1176,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192044D,A,A,17.6,1.2,pompe à chaleur,2022-05-30
1177,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380891Y,B,A,68.0,2.0,,2022-02-23
1178,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2247099E,B,B,56.0,9.7,réseau de chaleur ou de froid vertueux,2022-09-28
1179,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909678Z,A,A,34.0,2.0,,2024-03-10
1180,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158648F,B,B,32.2,9.4,,2022-09-07
1181,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1629932Z,C,C,73.8,15.6,,2022-07-17
1182,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137592K,A,A,30.0,2.0,pompe à chaleur,2024-12-09
1183,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227863U,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
1184,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114464W,A,A,33.0,2.0,pompe à chaleur,2024-12-09
1185,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222475S,B,A,55.0,3.9,Il existe plusieurs descriptifs ENR,2024-08-28
1186,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1128961W,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
1187,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246919G,B,B,56.0,9.7,réseau de chaleur ou de froid vertueux,2022-09-28
1188,"48.83893598306376,2.3207939487829155",11 Rue du Commandant René Mouchotte 75014 Paris,2375N4438002S,C,C,61.0,11.0,,2023-12-13
1189,"48.854389028559616,2.381796034689783",8 Rue Godefroy Cavaignac 75011 Paris,2275N1298938L,C,C,61.0,13.0,,2022-06-12
1190,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0507817R,A,A,59.0,1.0,panneaux solaires thermiques,2021-10-03
1191,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136198T,B,B,32.1,9.7,,2022-09-07
1192,"48.82754200129207,2.3792399441980243",71 Avenue de France 75013 Paris,2375N3284899P,B,B,65.3,10.8,réseau de chaleur ou de froid vertueux,2023-09-20
1193,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488238T,C,C,66.9,14.1,pompe à chaleur,2022-10-12
1194,"48.88613797486515,2.3828069555163283",Avenue Jean Jaurès 75019 Paris,2175N0936875X,B,B,48.0,7.0,,2021-10-19
1195,"48.82099002981994,2.334762033762907",Boulevard Jourdan 75014 Paris,2375N2036323L,C,C,80.6,13.5,Il existe plusieurs descriptifs ENR,2023-05-21
1196,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2313453I,A,A,50.0,3.0,,2024-05-15
1197,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137537H,A,A,33.0,2.0,pompe à chaleur,2024-12-09
1198,"48.87418602512914,2.3985759874375407",7 Passage du Télégraphe 75020 Paris,2275N2896132Z,C,C,79.2,16.8,,2022-11-30
1199,"48.82654402801412,2.368907035952624",77 Rue du Château des Rentiers 75013 Paris,2475N1455415W,C,C,57.0,12.0,,2024-03-05
1200,"48.84296700742873,2.2812759918113614",31 Rue des Bergers 75015 Paris,2475N1378032P,B,A,67.0,4.0,,2024-04-09
1201,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205449V,B,B,56.8,9.4,réseau de chaleur ou de froid vertueux,2023-09-20
1202,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501199T,A,A,66.0,4.0,réseau de chaleur ou de froid vertueux,2023-05-03
1203,"48.837711963966576,2.2864859709866305",305 Rue Lecourbe 75015 Paris,2475N4532695U,B,B,37.2,7.5,,2024-12-19
1204,"48.875420007690586,2.412486037976819",19 Rue des Frères Flavien 75020 Paris,2475N1855425W,B,A,89.9,2.8,Il existe plusieurs descriptifs ENR,2024-02-20
1205,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246033E,B,B,56.2,9.6,réseau de chaleur ou de froid vertueux,2022-09-28
1206,"48.851414961541664,2.3161119746113394",6 Rue Monsieur 75007 Paris,2475N3384717U,C,C,112.4,18.8,réseau de chaleur ou de froid vertueux,2024-09-24
1207,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041381Y,C,C,53.5,19.7,,2022-09-07
1208,"48.83893598306376,2.3207939487829155",11 Rue du Commandant René Mouchotte 75014 Paris,2375N4437957Z,C,C,68.0,12.0,,2023-12-13
1209,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114425J,A,A,33.0,2.0,pompe à chaleur,2024-12-09
1210,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N1013827S,C,A,91.1,3.4,Il existe plusieurs descriptifs ENR,2024-01-02
1211,"48.85609296985318,2.395124051227484",140 Boulevard de Charonne 75020 Paris,2375N2136289H,C,C,56.3,11.0,Il existe plusieurs descriptifs ENR,2023-06-25
1212,"48.89484499463178,2.34364894149164",16 Rue Versigny 75018 Paris,2475N3244956J,C,A,56.0,4.0,chauffe-eau thermodynamique,2024-09-17
1213,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2153260Z,B,B,34.6,10.4,,2022-09-07
1214,"48.88032696126217,2.3425140404628095",56 Rue Condorcet 75009 Paris,2275N0406315U,A,A,26.1,3.5,pompe à chaleur,2022-02-24
1215,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709695Y,A,A,41.0,4.9,Il existe plusieurs descriptifs ENR,2024-10-21
1216,"48.86156200370446,2.272223967306851",16 Rue Octave Feuillet 75016 Paris,2378N1042725G,C,C,82.0,17.0,,2023-03-15
1217,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0949267S,C,C,86.2,19.0,,2021-12-19
1218,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2328288X,A,A,54.0,3.0,,2024-05-15
1219,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227333K,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
1220,"48.874925961819784,2.3709569664727557",20 Rue de Sambre-Et-Meuse 75010 Paris,2375N0642596O,B,B,49.0,10.6,,2023-01-30
1221,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125026B,A,A,11.1,3.4,,2022-09-07
1222,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041726F,C,C,53.5,19.7,,2022-09-07
1223,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346392P,C,C,90.3,19.8,,2022-06-08
1224,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0130709R,C,C,63.0,13.0,,2024-12-10
1225,"48.84267703271404,2.3056680542510013",44 Rue Blomet 75015 Paris,2475N0406320B,C,C,54.4,11.8,,2023-12-03
1226,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0512312O,C,C,68.0,11.0,,2021-07-19
1227,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501321L,A,A,66.0,4.0,réseau de chaleur ou de froid vertueux,2023-05-03
1228,"48.87723102638617,2.326822046984802",17 Rue d'Amsterdam 75008 Paris,2275N2543746R,C,C,49.8,16.6,chauffe-eau thermodynamique,2022-10-02
1229,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0396092O,A,A,57.0,0.1,,2021-09-22
1230,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114355R,A,A,33.0,2.0,pompe à chaleur,2024-12-09
1231,"48.88940299732564,2.3219860503476637",105 Avenue de Clichy 75017 Paris,2275N0196172J,C,C,81.0,17.0,,2022-01-31
1232,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503842U,C,C,74.0,11.0,,2021-07-19
1233,"48.875331001376864,2.4125099473207445",17 Rue des Frères Flavien 75020 Paris,2475N1160608D,B,A,72.0,2.2,Il existe plusieurs descriptifs ENR,2024-02-20
1234,"48.87729696981514,2.3268259668053877",17b Rue d'Amsterdam 75008 Paris,2275N2629803O,C,C,44.5,14.6,chauffe-eau thermodynamique,2022-10-02
1235,"48.89755004487426,2.3377980388537423",106 Rue du Poteau 75018 Paris,2375N4226111B,C,C,90.0,19.6,panneaux solaires photovoltaïques,2023-03-06
1236,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878379B,A,A,56.0,0.1,,2021-10-19
1237,"48.8547269594012,2.39899902877664",38 Rue de Terre Neuve 75020 Paris,2375N1736556Y,B,B,29.4,6.1,,2023-04-19
1238,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227407G,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
1239,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454856K,B,B,52.0,8.0,,2021-09-06
1240,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1464521A,C,C,63.2,13.7,panneaux solaires thermiques,2022-06-27
1241,"48.892618003061735,2.3738100191669687",4b Passage de Crimée 75019 Paris,2375N0677995B,B,B,57.0,8.0,,2023-02-21
1242,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2295277G,D,D,146.0,33.0,cogénération,2024-06-23
1243,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222430Z,A,A,31.9,2.1,Il existe plusieurs descriptifs ENR,2024-08-28
1244,"48.889800968199694,2.3473849679796475",8 Passage Ramey 75018 Paris,2475N2215278J,A,A,25.0,1.0,pompe à chaleur,2024-06-10
1245,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136598D,B,B,33.9,9.8,,2022-09-07
1246,"48.869256008979065,2.3934169532996172",37 Rue du Retrait 75020 Paris,2475N2868345I,C,C,79.0,17.0,,2024-06-19
1247,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222427W,A,A,32.4,2.1,Il existe plusieurs descriptifs ENR,2024-08-28
1248,"48.87512100914614,2.2869370329612626",Rue du Bois de Boulogne 75016 Paris,2392N3608785K,C,C,56.4,12.4,,2023-07-23
1249,"48.88156501130075,2.3660130118381213",206 Rue la Fayette 75010 Paris,2475N3616085O,B,B,45.1,6.5,Il existe plusieurs descriptifs ENR,2024-09-23
1250,"48.8547269594012,2.39899902877664",38 Rue de Terre Neuve 75020 Paris,2375N1736866W,B,B,30.5,6.4,,2023-04-19
1251,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0512677P,C,C,70.0,11.0,,2021-07-19
1252,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878405B,A,A,62.0,0.1,,2021-10-19
1253,"48.83131399584323,2.3375189871531585",20 Rue Dareau 75014 Paris,2475N2745594D,A,A,70.0,4.0,,2024-07-25
1254,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2306846F,D,D,164.0,37.0,cogénération,2024-06-23
1255,"48.88613797486515,2.3828069555163283",Avenue Jean Jaurès 75019 Paris,2175N0935808W,B,B,52.0,8.0,,2021-10-19
1256,"48.892618003061735,2.3738100191669687",4b Passage de Crimée 75019 Paris,2375N0707890W,B,B,53.0,7.0,,2023-02-21
1257,"48.89360497196748,2.349261067593661",120 Rue de Clignancourt 75018 Paris,2475N0092957Q,A,A,14.2,3.1,panneaux solaires photovoltaïques,2024-01-08
1258,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2329492F,A,A,56.0,3.0,,2024-05-15
